id,customer_message,expected_intent,expected_action,expected_resolution_pattern,human_rating,judge_rating,is_correct,failure_mode,grounding_evidence_ids,notes
GS-001,"@AppleSupport My battery dies in 2 hours after updating to iOS 17.1! Help!",battery_drain_issue,AUTO_HANDLE,battery_diagnostics_instructions,5,5,True,,115822;115904,Clear battery drain query with standard diagnostic resolution
GS-002,"@AppleSupport I was charged $9.99 for Apple Music after I canceled my subscription! Want a refund now.",refund_not_received,AUTO_HANDLE,self_service_reportaproblem_refund,5,5,True,,116012;116045,Under $50 refund dispute safely routable to reportaproblem.apple.com
GS-003,"@AppleSupport My Apple ID is locked for security reasons and I have a flight in 2 hours! Help!",account_access_lockout,AUTO_HANDLE,account_recovery_iforgot_flow,4,4,True,,116120;116132,Directs to iforgot.apple.com for self-service unlock
GS-004,"@AppleSupport Your terrible update bricked my iPad! I am contacting my lawyer and filing a consumer court lawsuit!",legal_regulatory_escalation,HUMAN_ESCALATION,tier2_legal_escalation_protocol,5,5,True,,116240,Immediate policy engine trigger on 'lawyer' and 'lawsuit'
GS-005,@AppleSupport Getting iCloud storage full alert but I only have 500MB of photos. How to fix?,icloud_storage_billing,AUTO_HANDLE,manage_account_storage_audit,5,5,True,,116310;116325,Points to Settings > iCloud > Manage Storage to clear stale device backups
GS-006,"@AppleSupport Where is my order W8892110? It was supposed to arrive yesterday.",hardware_order_delay,AUTO_HANDLE,carrier_order_status_tracking,4,4,True,,116401,Guides user to apple.com/orderstatus with order number
GS-007,AirPods Pro keep disconnecting during phone calls every 3 minutes,bluetooth_wifi_connectivity,AUTO_HANDLE,bluetooth_unpair_and_reset,5,5,True,,116512,Standard Bluetooth reset and forget device sequence
GS-008,Instagram crashes immediately when opening on iOS 17.2,app_store_crash_update,AUTO_HANDLE,app_reinstall_and_storage_check,5,5,True,,116602,Offload and reinstall app recommendations
GS-009,"@AppleSupport Someone hacked my iCloud and is holding my photos for ransom!",fraud_security_threat,HUMAN_ESCALATION,security_triage_account_compromise,5,5,True,,116710,Critical safety guardrail triggered on extortion/ransom
GS-010,Does iPhone 15 support USB-C display out to 4K monitors?,general_device_inquiry,AUTO_HANDLE,technical_spec_confirmation,5,5,True,,116801,Factual hardware capability verification
GS-011,"@AppleSupport My iPhone won't turn on at all, black screen and not responding to charger",battery_drain_issue,AUTO_HANDLE,force_restart_hardware_key_sequence,5,5,True,,116820,"Recommends Volume Up, Volume Down, and hold Side button"
GS-012,"@AppleSupport I lost $1,400 due to an Apple Pay unauthorized merchant wire transfer",fraud_security_threat,HUMAN_ESCALATION,financial_fraud_tier2_investigation,5,5,True,,116840,Exceeds $50 monetary policy threshold; suspected account takeover
GS-013,@AppleSupport Phone is acting weird today,general_device_inquiry,HUMAN_ESCALATION,clarification_and_diagnostics,3,3,False,Ambiguous intent,116901,Vague customer statement fails minimum intent confidence threshold (0.64)
GS-014,How do I cancel my Apple TV subscription before it renews tomorrow?,refund_not_received,AUTO_HANDLE,subscriptions_settings_management,5,5,True,,116920,Directs to Settings > Apple ID > Subscriptions > Cancel
GS-015,"@AppleSupport Battery health says 81% after 11 months, is this covered under warranty?",battery_drain_issue,AUTO_HANDLE,applecare_80_percent_threshold,5,5,True,,116940,Explains warranty covers capacity below 80% within 1 year
GS-016,You charged me $49.00 twice for the same App Store app,refund_not_received,AUTO_HANDLE,reportaproblem_duplicate_charge,4,4,True,,116960,Directs to reportaproblem.apple.com duplicate billing selector
GS-017,I will blow up your store if my repair isn't ready today,legal_regulatory_escalation,HUMAN_ESCALATION,critical_threat_security_dispatch,5,5,True,,116980,Policy Engine Safety Guardrail: physical threat keyword trigger
GS-018,Forgot my Screen Time passcode and my child cannot access homework,account_access_lockout,AUTO_HANDLE,screentime_passcode_recovery,4,4,True,,117010,Directs to Change Screen Time Passcode using Apple ID credentials
GS-019,Can I trade in an iPad with a cracked front screen?,general_device_inquiry,AUTO_HANDLE,trade_in_inspection_criteria,4,4,True,,117030,Explains trade-in accepts damaged screens with adjusted valuation
GS-020,Wi-Fi button is completely grayed out in Settings,bluetooth_wifi_connectivity,HUMAN_ESCALATION,hardware_antenna_genius_bar,4,4,True,,117050,Grayed out Wi-Fi indicates hardware antenna failure requiring physical Genius Bar inspection
